gid,lat,lng,time,duration
360470117001,40.668271,-73.990599,2017-09-18T13:53:24Z,24
360470117001,40.668641,-73.990162,2017-09-18T13:53:48Z,24
360470139003,40.668907,-73.989822,2017-09-18T13:54:12Z,17
360470139003,40.669075,-73.989724,2017-09-18T13:54:29Z,16
360470139003,40.669271,-73.989571,2017-09-18T13:54:45Z,17
360470121002,40.669505,-73.989441,2017-09-18T13:55:02Z,23
360470139003,40.669708,-73.989215,2017-09-18T13:55:25Z,16
360470139004,40.66974,-73.989152,2017-09-18T13:55:41Z,21
360470121002,40.669856,-73.989164,2017-09-18T13:56:02Z,17
360470121002,40.669926,-73.989151,2017-09-18T13:56:19Z,27
360470121002,40.670013,-73.989063,2017-09-18T13:56:46Z,25
360470139004,40.670027,-73.988966,2017-09-18T13:57:11Z,0
360470139004,40.670027,-73.988966,2017-09-18T13:57:11Z,28
360470139004,40.669891,-73.988804,2017-09-18T13:57:39Z,18
360470139004,40.669892,-73.988803,2017-09-18T13:57:57Z,19
360470139004,40.669907,-73.988829,2017-09-18T13:58:16Z,24
360470139004,40.669925,-73.988866,2017-09-18T13:58:40Z,20
360470139004,40.669956,-73.988951,2017-09-18T13:59:00Z,42
360470121002,40.670018,-73.989118,2017-09-18T13:59:42Z,17
360470121002,40.670018,-73.989118,2017-09-18T13:59:59Z,1
360470121002,40.670018,-73.989118,2017-09-18T14:00:00Z,15
360470121002,40.670018,-73.989118,2017-09-18T14:00:15Z,72
360470121002,40.670009,-73.989156,2017-09-18T14:01:27Z,42
360470121002,40.670018,-73.989181,2017-09-18T14:02:09Z,19
360470121002,40.670011,-73.989145,2017-09-18T14:02:28Z,62
360470119001,40.672545,-73.993625,2017-09-18T14:03:30Z,147
360470077004,40.679483,-73.995539,2017-09-18T14:05:57Z,16
360470077004,40.679503,-73.995523,2017-09-18T14:06:13Z,199
360470069001,40.686481,-73.990553,2017-09-18T14:09:32Z,27
360470043004,40.687211,-73.990499,2017-09-18T14:09:59Z,476
360610018002,40.717893,-73.988540,2017-09-18T14:17:55Z,64
360610018002,40.717893,-73.988540,2017-09-18T14:18:59Z,3015
360610041005,40.719776,-73.998395,2017-09-18T15:09:14Z,50
360610041001,40.720275,-73.994101,2017-09-18T15:10:04Z,17
360610018005,40.720061,-73.993292,2017-09-18T15:10:21Z,16
360610018007,40.719462,-73.991376,2017-09-18T15:10:37Z,18
360610018007,40.719309,-73.990805,2017-09-18T15:10:55Z,19
360610018002,40.719165,-73.990271,2017-09-18T15:11:14Z,18
